epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,762.237,1.8864,2.38507,1.79824,0.34927,0.34501,0.27265,0.10092,1.9451,7.71471,1.76152,0.0858703,0.000142724,0.000142724
2,1230.43,1.80755,2.09984,1.74216,0.37566,0.34836,0.27804,0.11926,1.63624,2.96348,1.42438,0.071718,0.000276157,0.000276157
3,1757.95,1.79553,2.03897,1.71956,0.40268,0.38033,0.29247,0.1191,1.64246,6.16872,1.47945,0.0575563,0.000400162,0.000400162
4,2256.54,1.77504,1.985,1.71001,0.45085,0.39878,0.36032,0.15619,1.60513,9.75595,1.41887,0.0433851,0.000514738,0.000514738
5,2723.63,1.74985,1.91813,1.68604,0.53681,0.47441,0.49459,0.23107,1.55781,5.15488,1.38165,0.0292046,0.000619885,0.000619885
6,3240.86,1.72121,1.88074,1.66009,0.56584,0.49233,0.51239,0.23557,1.56143,6.13726,1.38431,0.0150146,0.000715604,0.000715604
7,3715.76,1.71137,1.84002,1.65315,0.56618,0.49621,0.5236,0.25162,1.49372,3.7038,1.34201,0.000815158,0.000801894,0.000801894
8,4183.93,1.68875,1.78514,1.6392,0.55749,0.49942,0.52436,0.24939,1.50902,6.23693,1.36929,0.000769,0.000769,0.000769
9,4641.92,1.67132,1.74276,1.61943,0.58302,0.50613,0.54214,0.26379,1.45971,4.22966,1.29133,0.000736,0.000736,0.000736
10,5102.69,1.6549,1.71157,1.60532,0.61432,0.52904,0.58299,0.29369,1.41724,2.4658,1.27316,0.000703,0.000703,0.000703
11,5533.18,1.63382,1.681,1.59325,0.60603,0.54672,0.58461,0.29524,1.43066,3.62364,1.28556,0.00067,0.00067,0.00067
12,5966.39,1.62286,1.65221,1.5803,0.63885,0.56402,0.61249,0.31432,1.41185,2.69559,1.27277,0.000637,0.000637,0.000637
13,6424.63,1.60885,1.61578,1.55925,0.64405,0.58074,0.63237,0.32662,1.40299,2.38807,1.25391,0.000604,0.000604,0.000604
14,6876.37,1.60044,1.61197,1.55869,0.6283,0.59819,0.63534,0.33246,1.36399,3.53385,1.22791,0.000571,0.000571,0.000571
15,7364.35,1.58062,1.58042,1.549,0.66166,0.58459,0.64402,0.33754,1.35267,2.05439,1.22345,0.000538,0.000538,0.000538
16,7839.21,1.57006,1.55247,1.53979,0.67135,0.59981,0.65776,0.34933,1.35891,2.46645,1.22851,0.000505,0.000505,0.000505
17,8282.23,1.5639,1.53727,1.5355,0.66916,0.59887,0.657,0.34277,1.35478,2.42477,1.22947,0.000472,0.000472,0.000472
18,8740.6,1.55607,1.52314,1.52815,0.65863,0.61476,0.6683,0.35201,1.33927,2.51853,1.20898,0.000439,0.000439,0.000439
19,9186.79,1.53769,1.49467,1.51136,0.6865,0.61281,0.67723,0.36363,1.3285,2.33919,1.20212,0.000406,0.000406,0.000406
20,9617.49,1.52819,1.47185,1.50819,0.69217,0.6137,0.68375,0.36686,1.32514,1.78489,1.19704,0.000373,0.000373,0.000373
21,9995.81,1.5187,1.33747,1.51275,0.68512,0.62582,0.68322,0.36784,1.34133,1.63475,1.20978,0.00034,0.00034,0.00034
22,10384.4,1.50263,1.30049,1.50145,0.68851,0.62493,0.6869,0.36932,1.32353,1.94488,1.20323,0.000307,0.000307,0.000307
23,10771.8,1.49342,1.27262,1.49568,0.69486,0.62681,0.69166,0.37617,1.31882,1.63947,1.18809,0.000274,0.000274,0.000274
24,11172.4,1.4792,1.24926,1.48103,0.69664,0.62812,0.69667,0.38125,1.30945,1.52374,1.18895,0.000241,0.000241,0.000241
25,11564.7,1.46923,1.22942,1.47444,0.69751,0.63704,0.70151,0.38388,1.30249,1.73209,1.18236,0.000208,0.000208,0.000208
26,11967.2,1.44775,1.20803,1.45939,0.7149,0.63029,0.70465,0.38449,1.3114,1.47817,1.18965,0.000175,0.000175,0.000175
27,12359.8,1.432,1.18126,1.44448,0.7076,0.63491,0.70479,0.38793,1.30184,1.42587,1.18222,0.000142,0.000142,0.000142
28,12754.8,1.42439,1.15754,1.43959,0.71259,0.64511,0.71083,0.39324,1.29614,1.44136,1.1769,0.000109,0.000109,0.000109
29,13150.4,1.41014,1.14139,1.43391,0.70352,0.65083,0.71217,0.39342,1.29505,1.47668,1.17434,7.6e-05,7.6e-05,7.6e-05
30,13534.7,1.39005,1.12641,1.42211,0.71031,0.6527,0.71343,0.39344,1.29446,1.4449,1.17337,4.3e-05,4.3e-05,4.3e-05
